month,day,time_start,time_end
Sep,17,21H 14M 0S,22H 23M 0S
Sep,12,12H 10M 0S,12H 20M 0S
Aug,6,11H 39M 0S,12H 27M 0S
Sep,21,12H 59M 0S,17H 11M 0S
Sep,5,19H 17M 0S,19H 52M 0S
Sep,8,11H 2M 0S,11H 9M 0S
Sep,17,16H 40M 0S,18H 38M 0S
Aug,24,10H 18M 0S,10H 53M 0S
Sep,23,14H 29M 0S,15H 25M 0S
Sep,6,19H 58M 0S,16H 8M 0S
Sep,5,14H 8M 0S,14H 41M 0S
Aug,19,18H 17M 0S,23H 27M 0S
Aug,7,19H 13M 0S,23H 18M 0S
Sep,19,15H 11M 0S,16H 54M 0S
Aug,27,18H 39M 0S,20H 31M 0S
Sep,12,12H 35M 0S,12H 57M 0S
Aug,28,9H 28M 0S,11H 24M 0S
Aug,23,20H 2M 0S,21H 13M 0S
Aug,23,8H 34M 0S,11H 53M 0S
Sep,11,3H 44M 0S,22H 42M 0S
Sep,22,4H 47M 0S,11H 7M 0S
Aug,30,17H 30M 0S,2H 19M 0S
Aug,10,22H 37M 0S,22H 58M 0S
Aug,7,8H 54M 0S,11H 0M 0S
Aug,26,14H 51M 0S,15H 41M 0S
Aug,26,14H 36M 0S,14H 41M 0S
Aug,22,21H 48M 0S,21H 49M 0S
Aug,21,21H 31M 0S,22H 21M 0S
Aug,26,12H 29M 0S,12H 49M 0S
Sep,16,16H 49M 0S,19H 24M 0S
Sep,22,17H 48M 0S,23H 25M 0S
Sep,14,10H 28M 0S,13H 1M 0S
Aug,29,8H 36M 0S,8H 49M 0S
Aug,12,14H 35M 0S,15H 29M 0S
Aug,12,17H 31M 0S,17H 50M 0S
Aug,8,2M 0S,1H 6M 0S
Sep,14,13H 31M 0S,13H 37M 0S
Aug,27,10H 41M 0S,11H 12M 0S
Aug,5,14H 46M 0S,15H 4M 0S
Aug,15,13H 33M 0S,15H 11M 0S
Aug,11,8H 27M 0S,9H 0M 0S
Sep,17,15H 20M 0S,16H 9M 0S
Aug,24,12H 20M 0S,16H 55M 0S
Aug,30,9H 48M 0S,9H 56M 0S
Aug,14,15H 0M 0S,16H 11M 0S
Aug,26,17H 42M 0S,20H 39M 0S
Aug,29,8H 58M 0S,9H 25M 0S
Sep,15,10H 30M 0S,11H 33M 0S
Aug,11,9H 1M 0S,9H 1M 0S
Aug,28,19H 55M 0S,20H 43M 0S
Sep,7,16H 50M 0S,17H 14M 0S
Aug,26,13H 2M 0S,14H 2M 0S
Aug,11,14H 2M 0S,14H 10M 0S
Sep,21,10H 14M 0S,10H 38M 0S
Aug,15,9H 10M 0S,9H 23M 0S
Aug,11,15H 57M 0S,16H 24M 0S
Sep,10,11H 25M 0S,11H 42M 0S
Aug,28,3H 7M 0S,3H 45M 0S
Aug,4,23H 25M 0S,23H 35M 0S
Aug,21,14H 22M 0S,15H 17M 0S
Sep,8,10H 44M 0S,10H 49M 0S
Sep,21,12H 53M 0S,12H 59M 0S
Sep,14,17H 19M 0S,1H 22M 0S
Sep,15,11H 56M 0S,12H 10M 0S
Aug,24,11H 19M 0S,12H 10M 0S
Aug,11,10H 21M 0S,12H 42M 0S
Sep,12,14H 20M 0S,16H 16M 0S
Sep,5,9H 1M 0S,9H 1M 0S
Aug,25,9H 43M 0S,11H 41M 0S
Aug,13,18H 44M 0S,19H 41M 0S
Aug,17,19H 47M 0S,20H 42M 0S
Aug,30,3H 16M 0S,3H 30M 0S
Aug,16,12H 21M 0S,13H 3M 0S
Aug,13,14H 52M 0S,15H 28M 0S
Aug,22,19H 1M 0S,20H 50M 0S
Aug,15,17H 28M 0S,17H 43M 0S
Aug,9,13H 52M 0S,57M 0S
Sep,17,10H 18M 0S,13H 8M 0S
Aug,6,7H 54M 0S,8H 1M 0S
Sep,8,10H 42M 0S,10H 43M 0S
Aug,27,21H 3M 0S,21H 10M 0S
Aug,20,11H 4M 0S,21H 47M 0S
Sep,14,14H 52M 0S,14H 56M 0S
Sep,16,7H 53M 0S,8H 18M 0S
Aug,18,22H 31M 0S,23H 5M 0S
Aug,28,17H 27M 0S,17H 59M 0S
Sep,4,7H 12M 0S,8H 41M 0S
Sep,13,19H 19M 0S,22H 54M 0S
Sep,18,8H 5M 0S,9H 13M 0S
Sep,16,14H 0M 0S,14H 24M 0S
Sep,10,18H 19M 0S,22H 11M 0S
Aug,22,12H 53M 0S,16H 23M 0S
Aug,17,8H 40M 0S,16H 49M 0S
Aug,29,9H 31M 0S,9H 42M 0S
Sep,13,11H 35M 0S,14H 19M 0S
Sep,18,10H 16M 0S,10H 32M 0S
Aug,8,22H 6M 0S,22H 25M 0S
Aug,24,20H 41M 0S,21H 4M 0S
Aug,6,16H 57M 0S,19H 11M 0S
Sep,18,6H 42M 0S,6H 44M 0S
